region,country,iso3,year,pathogen,specimen,antibiotic,resistant,tested,ast_standard,ast_version,test_method,source_url
EU_EEA,Austria,AUT,2018,Escherichia coli,Blood/invasive,Fluoroquinolones,1241,5679,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2019,Escherichia coli,Blood/invasive,Fluoroquinolones,1113,6111,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2020,Escherichia coli,Blood/invasive,Fluoroquinolones,932,5373,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2021,Escherichia coli,Blood/invasive,Fluoroquinolones,835,5539,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2022,Escherichia coli,Blood/invasive,Fluoroquinolones,667,4788,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2023,Escherichia coli,Blood/invasive,Fluoroquinolones,813,5409,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2001,Escherichia coli,Blood/invasive,Third-generation cephalosporins,0,257,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2002,Escherichia coli,Blood/invasive,Third-generation cephalosporins,6,477,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2003,Escherichia coli,Blood/invasive,Third-generation cephalosporins,18,977,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2004,Escherichia coli,Blood/invasive,Third-generation cephalosporins,47,1856,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2005,Escherichia coli,Blood/invasive,Third-generation cephalosporins,86,2046,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2006,Escherichia coli,Blood/invasive,Third-generation cephalosporins,163,2471,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2007,Escherichia coli,Blood/invasive,Third-generation cephalosporins,224,2525,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2008,Escherichia coli,Blood/invasive,Third-generation cephalosporins,220,2968,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2009,Escherichia coli,Blood/invasive,Third-generation cephalosporins,196,2597,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2010,Escherichia coli,Blood/invasive,Third-generation cephalosporins,212,2922,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2011,Escherichia coli,Blood/invasive,Third-generation cephalosporins,289,3160,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2012,Escherichia coli,Blood/invasive,Third-generation cephalosporins,321,3710,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2013,Escherichia coli,Blood/invasive,Third-generation cephalosporins,431,4376,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2014,Escherichia coli,Blood/invasive,Third-generation cephalosporins,444,4739,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2015,Escherichia coli,Blood/invasive,Third-generation cephalosporins,474,4900,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2016,Escherichia coli,Blood/invasive,Third-generation cephalosporins,527,5267,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2017,Escherichia coli,Blood/invasive,Third-generation cephalosporins,494,5129,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2018,Escherichia coli,Blood/invasive,Third-generation cephalosporins,579,5672,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2019,Escherichia coli,Blood/invasive,Third-generation cephalosporins,569,6106,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2020,Escherichia coli,Blood/invasive,Third-generation cephalosporins,509,5376,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2021,Escherichia coli,Blood/invasive,Third-generation cephalosporins,459,5537,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2022,Escherichia coli,Blood/invasive,Third-generation cephalosporins,424,5096,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Austria,AUT,2023,Escherichia coli,Blood/invasive,Third-generation cephalosporins,541,5491,EUCAST,EUCAST required; exact version unavailable in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Belgium,BEL,2001,Escherichia coli,Blood/invasive,Aminoglycosides,6,141,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Belgium,BEL,2002,Escherichia coli,Blood/invasive,Aminoglycosides,48,846,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Belgium,BEL,2003,Escherichia coli,Blood/invasive,Aminoglycosides,51,1093,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
EU_EEA,Belgium,BEL,2004,Escherichia coli,Blood/invasive,Aminoglycosides,57,1256,EARS-Net mixed/not reported,Not reported in Atlas aggregate,ECDC Surveillance Atlas aggregate,https://atlas.ecdc.europa.eu/public/
